2019-10-29 13:32:39.9069 TotalError: 0.007, Region: Mid Sussex, London: False, Error: 0.005, Next: -0.068, Change: -1
2019-10-29 13:32:40.0749 TotalError: 0.007, Region: Merthyr Tydfil, London: False, Error: 0.004, Next: -0.089, Change: -1
2019-10-29 13:32:40.3222 TotalError: 0.007, Region: Luton, London: False, Error: 0.005, Next: 0.172, Change: -1
2019-10-29 13:32:41.0362 TotalError: 0.007, Region: Lancashire, London: False, Error: 0.002, Next: -0.065, Change: -1
2019-10-29 13:32:41.3645 TotalError: 0.007, Region: Monmouthshire, London: False, Error: 0.005, Next: 0.062, Change: -1
2019-10-29 13:32:41.8352 TotalError: 0.007, Region: Kingston upon Thames, London: True, Error: 0.004, Next: 0.008, Change: -1
2019-10-29 13:32:42.0891 TotalError: 0.007, Region: Leicester, London: False, Error: 0.021, Next: 0.092, Change: -1
2019-10-29 13:32:42.5601 TotalError: 0.007, Region: Melton, London: False, Error: 0.007, Next: 0.017, Change: -1
2019-10-29 13:32:42.8914 TotalError: 0.007, Region: Lichfield, London: False, Error: 0.005, Next: -0.014, Change: -1
2019-10-29 13:32:45.3383 TotalError: 0.007, Region: Middlesbrough, London: False, Error: 0.003, Next: -0.076, Change: -1
2019-10-29 13:32:45.7389 TotalError: 0.007, Region: Maidstone, London: False, Error: 0.005, Next: 0.046, Change: -1
2019-10-29 13:32:46.3325 TotalError: 0.007, Region: Merton, London: True, Error: 0.006, Next: -0.367, Change: -1
2019-10-29 13:32:46.8463 TotalError: 0.007, Region: Manchester, London: False, Error: 0.004, Next: 0.106, Change: -1
2019-10-29 13:32:46.9838 TotalError: 0.007, Region: Newcastle upon Tyne, London: False, Error: 0.004, Next: 0.05, Change: -1
2019-10-29 13:32:48.3976 TotalError: 0.007, Region: Neath Port Talbot, London: False, Error: 0.029, Next: 0.067, Change: -1
2019-10-29 13:32:48.3976 TotalError: 0.007, Region: Leicestershire, London: False, Error: 0.008, Next: -0.151, Change: -1
2019-10-29 13:32:48.8073 TotalError: 0.007, Region: Norfolk, London: False, Error: 0.004, Next: 0.057, Change: -1
2019-10-29 13:32:48.9705 TotalError: 0.007, Region: Mendip, London: False, Error: 0.009, Next: -0.117, Change: -1
2019-10-29 13:32:49.3363 TotalError: 0.007, Region: Lincoln, London: False, Error: 0.003, Next: 0.046, Change: -1
2019-10-29 13:32:51.1702 TotalError: 0.007, Region: Milton Keynes, London: False, Error: 0.006, Next: -0.039, Change: -1
2019-10-29 13:32:51.3319 TotalError: 0.007, Region: North East Lincolnshire, London: False, Error: 0.003, Next: -0.034, Change: -1
2019-10-29 13:32:52.4117 TotalError: 0.007, Region: Newcastle-under-Lyme, London: False, Error: 0.007, Next: 0.009, Change: -1
2019-10-29 13:32:52.9560 TotalError: 0.007, Region: Mid Devon, London: False, Error: 0.01, Next: 0.051, Change: -1
2019-10-29 13:32:53.4377 TotalError: 0.007, Region: Mansfield, London: False, Error: 0.006, Next: 0.003, Change: -1
2019-10-29 13:32:54.3170 TotalError: 0.007, Region: Merseyside, London: False, Error: 0.002, Next: -0.056, Change: -1
2019-10-29 13:32:54.6350 TotalError: 0.007, Region: New Forest, London: False, Error: 0.007, Next: -0.252, Change: -1
2019-10-29 13:32:54.8597 TotalError: 0.007, Region: North Devon, London: False, Error: 0.011, Next: -0.07, Change: -1
2019-10-29 13:32:55.1647 TotalError: 0.007, Region: North Norfolk, London: False, Error: 0.008, Next: 0.089, Change: -1
2019-10-29 13:32:56.6832 TotalError: 0.007, Region: Mole Valley, London: False, Error: 0.004, Next: -0.069, Change: -1
2019-10-29 13:32:56.8258 TotalError: 0.007, Region: North Hertfordshire, London: False, Error: 0.004, Next: -0.118, Change: -1
2019-10-29 13:32:58.2323 TotalError: 0.007, Region: North West, London: False, Error: 0.003, Next: 0.04, Change: -1
