2019-10-16 20:42:45.7643 TotalError: 0, Region: Dudley, London: False, Error: 0, Next: 5.526942715333333, Change: 0
2019-10-16 20:42:45.7643 TotalError: 0, Region: Dumfries and Galloway, London: False, Error: 0, Next: 1.5774045076666665, Change: 0
2019-10-16 20:42:45.7643 TotalError: 0, Region: Ealing, London: True, Error: 0, Next: 0.3842624446666667, Change: 0
2019-10-16 20:42:45.7779 TotalError: 0, Region: East Ayrshire, London: False, Error: 0, Next: 1.9543143066666666, Change: 0
2019-10-16 20:42:45.7779 TotalError: 0, Region: East Cambridgeshire, London: False, Error: 0, Next: 5.415740867333333, Change: 0
2019-10-16 20:42:45.7779 TotalError: 0, Region: East Devon, London: False, Error: 0, Next: 4.942106801, Change: 0
2019-10-16 20:42:45.7779 TotalError: 0, Region: East Dorset, London: False, Error: 0, Next: 1.969015285, Change: 0
2019-10-16 20:42:45.7960 TotalError: 0, Region: East Dunbartonshire, London: False, Error: 0, Next: 10.409455757666667, Change: 0
2019-10-16 20:42:45.7960 TotalError: 0, Region: East Hampshire, London: False, Error: 0, Next: 1.1607497416666666, Change: 0
2019-10-16 20:42:45.7960 TotalError: 0, Region: East Hertfordshire, London: False, Error: 0, Next: 3.6598531619999997, Change: 0
2019-10-16 20:42:45.8103 TotalError: 0, Region: East Lindsey, London: False, Error: 0, Next: 8.810950271666668, Change: 0
2019-10-16 20:42:45.8103 TotalError: 0, Region: East Lothian, London: False, Error: 0, Next: 7.041661818333334, Change: 0
2019-10-16 20:42:45.8103 TotalError: 0, Region: East Midlands, London: False, Error: 0, Next: 5.572776539, Change: 0
2019-10-16 20:42:45.8249 TotalError: 0, Region: East Northamptonshire, London: False, Error: 0, Next: 8.125587265, Change: 0
2019-10-16 20:42:45.8249 TotalError: 0, Region: East Renfrewshire, London: False, Error: 0, Next: 4.004291587666667, Change: 0
2019-10-16 20:42:45.8249 TotalError: 0, Region: East Riding of Yorkshire, London: False, Error: 0, Next: 6.6146436113333325, Change: 0
2019-10-16 20:42:45.8398 TotalError: 0, Region: East Staffordshire, London: False, Error: 0, Next: 3.902899624, Change: 0
2019-10-16 20:42:45.8398 TotalError: 0, Region: East Sussex, London: False, Error: 0, Next: 6.410730214333333, Change: 0
2019-10-16 20:42:45.8398 TotalError: 0, Region: East of England, London: False, Error: 0, Next: 3.8138316043333336, Change: 0
2019-10-16 20:42:45.8398 TotalError: 0, Region: Eastbourne, London: False, Error: 0, Next: 5.777529509333334, Change: 0
2019-10-16 20:42:45.8588 TotalError: 0, Region: Eastleigh, London: False, Error: 0, Next: 4.744889273, Change: 0
2019-10-16 20:42:45.8588 TotalError: 0, Region: Eden, London: False, Error: 0, Next: 5.056498030666667, Change: 0
2019-10-16 20:42:45.8588 TotalError: 0, Region: Elmbridge, London: False, Error: 0, Next: 6.299765774666667, Change: 0
2019-10-16 20:42:45.8731 TotalError: 0, Region: Enfield, London: True, Error: 0, Next: 3.3454899339999997, Change: 0
2019-10-16 20:42:45.8731 TotalError: 0, Region: England, London: False, Error: 0, Next: 4.5270440396666665, Change: 0
2019-10-16 20:42:45.8731 TotalError: 0, Region: England and Wales, London: False, Error: 0, Next: 4.659559781666666, Change: 0
2019-10-16 20:42:45.8877 TotalError: 0, Region: Epping Forest, London: False, Error: 0, Next: 4.270557783, Change: 0
2019-10-16 20:42:45.8877 TotalError: 0, Region: Epsom and Ewell, London: False, Error: 0, Next: 1.8820631276666664, Change: 0
2019-10-16 20:42:45.8877 TotalError: 0, Region: Erewash, London: False, Error: 0, Next: 4.554356469666667, Change: 0
2019-10-16 20:42:45.9022 TotalError: 0, Region: Essex, London: False, Error: 0, Next: 4.005062650666667, Change: 0
2019-10-16 20:42:45.9022 TotalError: 0, Region: Exeter, London: False, Error: 0, Next: 5.938406432000001, Change: 0
2019-10-16 20:42:45.9022 TotalError: 0, Region: Falkirk, London: False, Error: 0, Next: 4.829837226666667, Change: 0
2019-10-16 20:42:45.9022 TotalError: 0, Region: Fareham, London: False, Error: 0, Next: 6.633354350666667, Change: 0
2019-10-16 20:42:45.9203 TotalError: 0, Region: Fenland, London: False, Error: 0, Next: 3.460585298, Change: 0
2019-10-16 20:42:45.9203 TotalError: 0, Region: Fife, London: False, Error: 0, Next: 2.8609513483333333, Change: 0
2019-10-16 20:42:45.9203 TotalError: 0, Region: Flintshire, London: False, Error: 0, Next: 6.6109865150000005, Change: 0
