2019-11-04 13:11:56.2998 TotalError: 0.361, AverageError: 0.003, Region: Great Yarmouth, London: False, Error: 0.002, Next: -0.105, Change: -1
2019-11-04 13:11:57.2149 TotalError: 0.364, AverageError: 0.003, Region: Harborough, London: False, Error: 0.002, Next: -0.083, Change: -1
2019-11-04 13:11:58.2512 TotalError: 0.366, AverageError: 0.003, Region: Hammersmith and Fulham, London: True, Error: 0.002, Next: 0.351, Change: -1
2019-11-04 13:12:20.1990 TotalError: 0.367, AverageError: 0.003, Region: England and Wales, London: False, Error: 0.002, Next: 0.034, Change: -1
2019-11-04 13:12:21.6125 TotalError: 0.369, AverageError: 0.003, Region: Fylde, London: False, Error: 0.001, Next: -0.132, Change: -1
2019-11-04 13:12:21.7877 TotalError: 0.374, AverageError: 0.003, Region: Hackney, London: True, Error: 0.005, Next: 0.217, Change: -1
2019-11-04 13:12:22.2410 TotalError: 0.375, AverageError: 0.003, Region: Essex, London: False, Error: 0.002, Next: -0.12, Change: -1
2019-11-04 13:12:23.4681 TotalError: 0.377, AverageError: 0.003, Region: Havant, London: False, Error: 0.001, Next: -0.068, Change: -1
2019-11-04 13:12:23.8108 TotalError: 0.378, AverageError: 0.003, Region: Harlow, London: False, Error: 0.002, Next: -0.036, Change: -1
2019-11-04 13:12:24.0374 TotalError: 0.379, AverageError: 0.003, Region: Harrow, London: True, Error: 0.001, Next: 0.048, Change: -1
2019-11-04 13:12:25.0532 TotalError: 0.38, AverageError: 0.003, Region: Greater Manchester, London: False, Error: 0.001, Next: -0.134, Change: -1
2019-11-04 13:12:26.3681 TotalError: 0.382, AverageError: 0.003, Region: Haringey, London: True, Error: 0.002, Next: 0.194, Change: -1
2019-11-04 13:12:26.6951 TotalError: 0.385, AverageError: 0.003, Region: Gloucestershire, London: False, Error: 0.003, Next: -0.065, Change: -1
2019-11-04 13:12:27.1629 TotalError: 0.386, AverageError: 0.003, Region: Hillingdon, London: True, Error: 0.001, Next: -0.023, Change: -1
2019-11-04 13:12:27.1789 TotalError: 0.388, AverageError: 0.003, Region: Herefordshire, London: False, Error: 0.002, Next: -0.153, Change: -1
2019-11-04 13:12:45.6312 TotalError: 0.39, AverageError: 0.003, Region: Exeter, London: False, Error: 0.002, Next: -0.039, Change: -1
2019-11-04 13:12:45.9173 TotalError: 0.391, AverageError: 0.003, Region: Havering, London: True, Error: 0.001, Next: -0.101, Change: -1
2019-11-04 13:12:49.1994 TotalError: 0.393, AverageError: 0.003, Region: Harrogate, London: False, Error: 0.002, Next: -0.071, Change: -1
