2019-10-29 13:10:00.6011 TotalError: 0.002, Region: Dorset, London: False, Error: 0.002, Next: -0.165, Change: -1
2019-10-29 13:09:50.1018 TotalError: 0.002, Region: Dover, London: False, Error: 0.001, Next: -0.051, Change: -1
2019-10-29 13:10:01.4120 TotalError: 0.002, Region: Dudley, London: False, Error: 0.002, Next: -0.037, Change: -1
2019-10-29 13:13:34.4149 TotalError: 0.002, Region: Dumfries and Galloway, London: False, Error: 0.002, Next: -0.107, Change: -1
2019-10-29 13:09:47.6857 TotalError: 0.002, Region: Ealing, London: True, Error: 0.002, Next: -0.1, Change: -1
2019-10-29 13:13:42.3992 TotalError: 0.002, Region: East Ayrshire, London: False, Error: 0.001, Next: -0.045, Change: -1
2019-10-29 13:09:55.5382 TotalError: 0.002, Region: East Cambridgeshire, London: False, Error: 0.001, Next: -0.234, Change: -1
2019-10-29 13:09:46.5600 TotalError: 0.002, Region: East Devon, London: False, Error: 0.002, Next: -0.08, Change: -1
2019-10-29 13:09:55.1524 TotalError: 0.002, Region: East Dorset, London: False, Error: 0.002, Next: -0.084, Change: -1
2019-10-29 13:13:49.3090 TotalError: 0.002, Region: East Dunbartonshire, London: False, Error: 0.001, Next: -0.178, Change: -1
2019-10-29 13:10:02.3917 TotalError: 0.002, Region: East Hampshire, London: False, Error: 0.002, Next: -0.092, Change: -1
2019-10-29 13:10:10.0740 TotalError: 0.002, Region: East Hertfordshire, London: False, Error: 0.001, Next: -0.151, Change: -1
2019-10-29 13:09:49.3772 TotalError: 0.002, Region: East Lindsey, London: False, Error: 0.002, Next: -0.032, Change: -1
2019-10-29 13:13:54.8808 TotalError: 0.002, Region: East Lothian, London: False, Error: 0.002, Next: 0.005, Change: -1
2019-10-29 13:13:55.5511 TotalError: 0.002, Region: East Midlands, London: False, Error: 0.001, Next: -0.104, Change: -1
2019-10-29 13:09:57.6153 TotalError: 0.002, Region: East Northamptonshire, London: False, Error: 0.001, Next: -0.011, Change: -1
2019-10-29 13:08:18.9513 TotalError: 0.001, Region: East of England, London: False, Error: 0.002, Next: -0.209, Change: -1
2019-10-29 13:13:59.2761 TotalError: 0.002, Region: East Renfrewshire, London: False, Error: 0.001, Next: -0.13, Change: -1
2019-10-29 13:10:09.1824 TotalError: 0.002, Region: East Riding of Yorkshire, London: False, Error: 0.001, Next: -0.089, Change: -1
2019-10-29 13:10:17.0444 TotalError: 0.002, Region: East Staffordshire, London: False, Error: 0.001, Next: -0.05, Change: -1
2019-10-29 13:09:49.5426 TotalError: 0.002, Region: East Sussex, London: False, Error: 0.002, Next: -0.085, Change: -1
2019-10-29 13:09:58.3769 TotalError: 0.002, Region: Eastbourne, London: False, Error: 0.001, Next: -0.065, Change: -1
2019-10-29 13:10:09.4883 TotalError: 0.002, Region: Eastleigh, London: False, Error: 0.001, Next: -0.083, Change: -1
2019-10-29 13:10:19.3835 TotalError: 0.002, Region: Eden, London: False, Error: 0.004, Next: 0.029, Change: -1
2019-10-29 13:09:51.7373 TotalError: 0.002, Region: Elmbridge, London: False, Error: 0.002, Next: -0.092, Change: -1
2019-10-29 13:10:06.2268 TotalError: 0.002, Region: Enfield, London: True, Error: 0.002, Next: -0.142, Change: -1
2019-10-29 13:08:18.3288 TotalError: 0.001, Region: England, London: False, Error: 0.001, Next: -0.108, Change: -1
2019-10-29 13:09:55.6093 TotalError: 0.002, Region: England and Wales, London: False, Error: 0.001, Next: -0.11, Change: -1
2019-10-29 13:10:03.7519 TotalError: 0.002, Region: Epping Forest, London: False, Error: 0.002, Next: -0.067, Change: -1
2019-10-29 13:10:18.4039 TotalError: 0.002, Region: Epsom and Ewell, London: False, Error: 0.002, Next: -0.036, Change: -1
2019-10-29 13:10:27.3764 TotalError: 0.002, Region: Erewash, London: False, Error: 0.002, Next: -0.045, Change: -1
2019-10-29 13:10:01.9140 TotalError: 0.002, Region: Essex, London: False, Error: 0.002, Next: -0.2, Change: -1
2019-10-29 13:10:15.8145 TotalError: 0.002, Region: Exeter, London: False, Error: 0.001, Next: -0.015, Change: -1
2019-10-29 13:13:13.4028 TotalError: 0.002, Region: Falkirk, London: False, Error: 0.001, Next: -0.017, Change: -1
2019-10-29 13:10:01.9020 TotalError: 0.002, Region: Fareham, London: False, Error: 0.003, Next: -0.014, Change: -1
2019-10-29 13:10:14.3420 TotalError: 0.002, Region: Fenland, London: False, Error: 0.002, Next: -0.064, Change: -1
2019-10-29 13:13:21.6098 TotalError: 0.002, Region: Fife, London: False, Error: 0.001, Next: 0.031, Change: -1
2019-10-29 13:10:28.0757 TotalError: 0.002, Region: Flintshire, London: False, Error: 0.002, Next: -0.042, Change: -1
2019-10-29 13:10:38.9666 TotalError: 0.002, Region: Folkestone and Hythe, London: False, Error: 0.002, Next: -0.015, Change: -1
2019-10-29 13:10:02.8443 TotalError: 0.002, Region: Forest Heath, London: False, Error: 0.002, Next: -0.013, Change: -1
2019-10-29 13:10:10.8850 TotalError: 0.002, Region: Forest of Dean, London: False, Error: 0.001, Next: -0.02, Change: -1
2019-10-29 13:10:21.1783 TotalError: 0.002, Region: Fylde, London: False, Error: 0.003, Next: -0.005, Change: -1
2019-10-29 13:10:27.2588 TotalError: 0.002, Region: Gateshead, London: False, Error: 0.003, Next: -0.074, Change: -1
2019-10-29 13:10:04.3916 TotalError: 0.002, Region: Gedling, London: False, Error: 0.002, Next: -0.048, Change: -1
2019-10-29 13:10:18.2183 TotalError: 0.002, Region: Gloucester, London: False, Error: 0.002, Next: -0.081, Change: -1
2019-10-29 13:10:27.4675 TotalError: 0.002, Region: Gloucestershire, London: False, Error: 0.001, Next: -0.089, Change: -1
2019-10-29 13:10:33.9763 TotalError: 0.002, Region: Gosport, London: False, Error: 0.001, Next: -0.019, Change: -1
2019-10-29 13:10:11.3573 TotalError: 0.002, Region: Gravesham, London: False, Error: 0.002, Next: -0.09, Change: -1
2019-10-29 13:13:28.7173 TotalError: 0.002, Region: Great Britain, London: False, Error: 0.001, Next: -0.277, Change: -1
2019-10-29 13:10:23.4762 TotalError: 0.002, Region: Great Yarmouth, London: False, Error: 0.002, Next: 0.011, Change: -1
2019-10-29 13:10:35.9610 TotalError: 0.002, Region: Greater Manchester, London: False, Error: 0.001, Next: 0.009, Change: -1
2019-10-29 13:10:48.9348 TotalError: 0.002, Region: Greenwich, London: True, Error: 0.001, Next: -0.097, Change: -1
2019-10-29 13:10:12.8247 TotalError: 0.002, Region: Guildford, London: False, Error: 0.002, Next: -0.015, Change: -1
2019-10-29 13:10:27.6937 TotalError: 0.002, Region: Gwynedd, London: False, Error: 0.001, Next: -0.15, Change: -1
2019-10-29 13:10:38.9105 TotalError: 0.002, Region: Hackney, London: True, Error: 0.002, Next: 0.037, Change: -1
2019-10-29 13:10:48.9618 TotalError: 0.002, Region: Halton, London: False, Error: 0.001, Next: -0.073, Change: -1
