2019-11-04 14:50:11.8826 TotalError: 0.456, AverageError: 0.003, Region: Halton, London: False, Error: 0.003, Next: -0.103, Change: -1
2019-11-04 14:50:12.6011 TotalError: 0.468, AverageError: 0.003, Region: Eden, London: False, Error: 0.012, Next: -0.059, Change: -1
2019-11-04 14:50:13.5978 TotalError: 0.471, AverageError: 0.003, Region: Enfield, London: True, Error: 0.003, Next: 0.402, Change: -1
2019-11-04 14:50:14.7308 TotalError: 0.473, AverageError: 0.003, Region: Greenwich, London: True, Error: 0.002, Next: 0.522, Change: -1
2019-11-04 14:50:15.6117 TotalError: 0.475, AverageError: 0.003, Region: Gwynedd, London: False, Error: 0.003, Next: -0.016, Change: -1
2019-11-04 14:50:26.5349 TotalError: 0.48, AverageError: 0.003, Region: Harborough, London: False, Error: 0.004, Next: 0.123, Change: -1
2019-11-04 14:50:27.1227 TotalError: 0.482, AverageError: 0.003, Region: East Hampshire, London: False, Error: 0.002, Next: 0.192, Change: -1
2019-11-04 14:50:33.8409 TotalError: 0.483, AverageError: 0.003, Region: Greater Manchester, London: False, Error: 0.001, Next: 0.111, Change: -1
2019-11-04 14:50:35.8271 TotalError: 0.485, AverageError: 0.003, Region: Flintshire, London: False, Error: 0.002, Next: -0.024, Change: -1
2019-11-04 14:50:37.2495 TotalError: 0.486, AverageError: 0.003, Region: Gloucestershire, London: False, Error: 0.001, Next: 0.078, Change: -1
2019-11-04 14:50:39.1350 TotalError: 0.492, AverageError: 0.003, Region: Forest Heath, London: False, Error: 0.006, Next: 0.142, Change: -1
2019-11-04 14:50:39.2581 TotalError: 0.494, AverageError: 0.003, Region: Gravesham, London: False, Error: 0.002, Next: 0.153, Change: -1
2019-11-04 14:50:40.3023 TotalError: 0.496, AverageError: 0.003, Region: Fylde, London: False, Error: 0.002, Next: -0.021, Change: -1
2019-11-04 14:50:40.4557 TotalError: 0.498, AverageError: 0.003, Region: Gedling, London: False, Error: 0.002, Next: -0.009, Change: -1
2019-11-04 14:50:58.0992 TotalError: 0.501, AverageError: 0.003, Region: Haringey, London: True, Error: 0.003, Next: 0.747, Change: -1
2019-11-04 14:51:06.3242 TotalError: 0.505, AverageError: 0.003, Region: Hartlepool, London: False, Error: 0.004, Next: -0.026, Change: -1
2019-11-04 14:51:08.5304 TotalError: 0.506, AverageError: 0.003, Region: Hampshire, London: False, Error: 0.001, Next: 0.184, Change: -1
2019-11-04 14:51:09.1746 TotalError: 0.516, AverageError: 0.003, Region: Hackney, London: True, Error: 0.01, Next: 1.003, Change: -1
2019-11-04 14:51:10.1818 TotalError: 0.518, AverageError: 0.003, Region: Harlow, London: False, Error: 0.003, Next: 0.204, Change: -1
2019-11-04 14:51:10.6356 TotalError: 0.52, AverageError: 0.003, Region: Guildford, London: False, Error: 0.002, Next: 0.323, Change: -1
2019-11-04 14:51:10.9355 TotalError: 0.523, AverageError: 0.003, Region: Hambleton, London: False, Error: 0.003, Next: -0.059, Change: -1
2019-11-04 14:51:15.9335 TotalError: 0.524, AverageError: 0.003, Region: Harrow, London: True, Error: 0.001, Next: 0.428, Change: -1
2019-11-04 14:51:18.4381 TotalError: 0.528, AverageError: 0.003, Region: Lambeth, London: True, Error: 0.004, Next: 0.949, Change: -1
2019-11-04 14:51:23.5322 TotalError: 0.533, AverageError: 0.003, Region: King's Lynn and West Norfolk , London: False, Error: 0.004, Next: 0.122, Change: -1
2019-11-04 14:51:23.6153 TotalError: 0.534, AverageError: 0.003, Region: Hillingdon, London: True, Error: 0.001, Next: 0.417, Change: -1
2019-11-04 14:51:23.7669 TotalError: 0.543, AverageError: 0.003, Region: Isle of Anglesey, London: False, Error: 0.009, Next: -0.005, Change: -1
2019-11-04 14:51:28.9399 TotalError: 0.547, AverageError: 0.003, Region: Herefordshire, London: False, Error: 0.004, Next: 0.004, Change: -1
2019-11-04 14:51:31.4522 TotalError: 0.548, AverageError: 0.003, Region: Havant, London: False, Error: 0.001, Next: 0.09, Change: -1
2019-11-04 14:51:32.3001 TotalError: 0.551, AverageError: 0.003, Region: Huntingdonshire, London: False, Error: 0.003, Next: 0.083, Change: -1
2019-11-04 14:51:32.6683 TotalError: 0.551, AverageError: 0.003, Region: Kent, London: False, Error: 0.001, Next: 0.157, Change: -1
2019-11-04 14:51:45.3590 TotalError: 0.553, AverageError: 0.003, Region: Medway, London: False, Error: 0.001, Next: 0.138, Change: -1
2019-11-04 14:51:54.8391 TotalError: 0.556, AverageError: 0.003, Region: Hastings, London: False, Error: 0.003, Next: 0.1, Change: -1
2019-11-04 14:51:56.6349 TotalError: 0.559, AverageError: 0.003, Region: Maldon, London: False, Error: 0.003, Next: 0.127, Change: -1
2019-11-04 14:51:57.6532 TotalError: 0.562, AverageError: 0.003, Region: Lancaster, London: False, Error: 0.003, Next: 0.011, Change: -1
2019-11-04 14:51:58.4329 TotalError: 0.567, AverageError: 0.003, Region: Hart, London: False, Error: 0.005, Next: 0.287, Change: -1
2019-11-04 14:51:58.5600 TotalError: 0.569, AverageError: 0.003, Region: Lincolnshire, London: False, Error: 0.001, Next: 0.005, Change: -1
2019-11-04 14:52:02.0531 TotalError: 0.572, AverageError: 0.003, Region: Lewes, London: False, Error: 0.003, Next: 0.202, Change: -1
2019-11-04 14:52:03.8156 TotalError: 0.574, AverageError: 0.003, Region: Harrogate, London: False, Error: 0.002, Next: 0.105, Change: -1
2019-11-04 14:52:04.2965 TotalError: 0.576, AverageError: 0.003, Region: Lancashire, London: False, Error: 0.002, Next: -0.011, Change: -1
2019-11-04 14:52:10.6510 TotalError: 0.584, AverageError: 0.003, Region: Hinckley and Bosworth, London: False, Error: 0.008, Next: 0.048, Change: -1
2019-11-04 14:52:11.9566 TotalError: 0.586, AverageError: 0.003, Region: Isle of Wight, London: False, Error: 0.002, Next: -0.052, Change: -1
2019-11-04 14:52:12.1259 TotalError: 0.592, AverageError: 0.003, Region: Hyndburn, London: False, Error: 0.006, Next: 0.013, Change: -1
2019-11-04 14:52:15.0744 TotalError: 0.593, AverageError: 0.003, Region: Hertfordshire, London: False, Error: 0.001, Next: 0.313, Change: -1
2019-11-04 14:52:15.1640 TotalError: 0.594, AverageError: 0.003, Region: Havering, London: True, Error: 0.002, Next: 0.254, Change: -1
2019-11-04 14:52:15.1731 TotalError: 0.596, AverageError: 0.003, Region: Kingston upon Thames, London: True, Error: 0.002, Next: 0.631, Change: -1
2019-11-04 14:52:20.9674 TotalError: 0.598, AverageError: 0.003, Region: Kettering, London: False, Error: 0.002, Next: 0.002, Change: -1
2019-11-04 14:52:26.8550 TotalError: 0.602, AverageError: 0.003, Region: Melton, London: False, Error: 0.004, Next: 0.073, Change: -1
2019-11-04 14:52:36.5616 TotalError: 0.605, AverageError: 0.003, Region: Milton Keynes, London: False, Error: 0.003, Next: 0.259, Change: -1
2019-11-04 14:52:37.9492 TotalError: 0.608, AverageError: 0.003, Region: Malvern Hills, London: False, Error: 0.003, Next: 0.022, Change: -1
2019-11-04 14:52:38.6501 TotalError: 0.61, AverageError: 0.003, Region: Leeds, London: False, Error: 0.002, Next: -0.016, Change: -1
2019-11-04 14:52:42.0213 TotalError: 0.614, AverageError: 0.003, Region: Mendip, London: False, Error: 0.004, Next: 0.091, Change: -1
2019-11-04 14:52:42.5874 TotalError: 0.616, AverageError: 0.003, Region: Liverpool, London: False, Error: 0.002, Next: -0.002, Change: -1
2019-11-04 14:52:43.4456 TotalError: 0.626, AverageError: 0.003, Region: Mid Devon, London: False, Error: 0.01, Next: 0.077, Change: -1
2019-11-04 14:52:44.8886 TotalError: 0.628, AverageError: 0.003, Region: Lewisham, London: True, Error: 0.001, Next: 0.709, Change: -1
2019-11-04 14:52:47.3611 TotalError: 0.631, AverageError: 0.003, Region: Norfolk, London: False, Error: 0.003, Next: 0.168, Change: -1
2019-11-04 14:52:50.8229 TotalError: 0.634, AverageError: 0.003, Region: Horsham, London: False, Error: 0.003, Next: 0.27, Change: -1
2019-11-04 14:52:53.5510 TotalError: 0.635, AverageError: 0.003, Region: Kirklees, London: False, Error: 0.002, Next: -0.027, Change: -1
2019-11-04 14:52:54.9642 TotalError: 0.651, AverageError: 0.003, Region: Newham, London: True, Error: 0.016, Next: 0.38, Change: -1
